player_name,Price in $,Role,team,auction_year,Price in rs,nationality,base_price,winning_bid,capped_status
Rudra Pratap Singh,"400,000",Bowler,Royal Challengers Bengaluru,2013,,,,,
Moises Henriques,"300,000",All-Rounder,Royal Challengers Bengaluru,2013,,,,,
Ravi Rampaul,"290,000",Bowler,Royal Challengers Bengaluru,2013,,,,,
Pankaj Singh,"150,000",Bowler,Royal Challengers Bengaluru,2013,,,,,
Daniel Christian,"100,000",All-Rounder,Royal Challengers Bengaluru,2013,,,,,
Christopher Barnwell,"50,000",All-Rounder,Royal Challengers Bengaluru,2013,,,,,
Thisara Perera,"675,000",All-Rounder,Sunrisers Hyderabad,2013,,,,,
Darren Sammy,"425,000",All-Rounder,Sunrisers Hyderabad,2013,,,,,
Sudeep Tyagi,"100,000",Bowler,Sunrisers Hyderabad,2013,,,,,
Clinton McKay,"100,000",Bowler,Sunrisers Hyderabad,2013,,,,,
Nathan McCullum,"100,000",Bowler,Sunrisers Hyderabad,2013,,,,,
Quinton De Kock,"20,000",Wicket Keeper,Sunrisers Hyderabad,2013,,,,,
Faf Du Plessis,,Batsman,Chennai Super Kings,2014,"4,75,00,000",,,,
Dwayne Smith,,Batsman,Chennai Super Kings,2014,"4,50,00,000",,,,
Brendon McCullum,,Wicket Keeper,Chennai Super Kings,2014,"3,25,00,000",,,,
Ashish Nehra,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,
Mohit Sharma,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,
Ishwar Chandra Pandey,,Bowler,Chennai Super Kings,2014,"1,50,00,000",,,,
Ben Hilfenhaus,,Bowler,Chennai Super Kings,2014,"1,00,00,000",,,,
John Hastings,,All-Rounder,Chennai Super Kings,2014,"50,00,000",,,,
Samuel Badree,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,
Matt Henry,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,
Mithun Manhas,,All-Rounder,Chennai Super Kings,2014,"30,00,000",,,,
Vijay Shankar,,All-Rounder,Chennai Super Kings,2014,"10,00,000",,,,
Ronit More,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,
Baba Aparajith,,Batsman,Chennai Super Kings,2014,"10,00,000",,,,
Pawan Negi,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,
Dinesh Karthik,,Wicket Keeper,Delhi Daredevils,2014,"12,50,00,000",,,,
Kevin Pietersen,,Batsman,Delhi Daredevils,2014,"9,00,00,000",,,,
Murali Vijay,,Batsman,Delhi Daredevils,2014,"5,00,00,000",,,,
Mohammad Shami,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,
Nathan Coulter-Nile,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,
Quinton De Kock,,Wicket Keeper,Delhi Daredevils,2014,"3,50,00,000",,,,
Manoj Tiwary,,Batsman,Delhi Daredevils,2014,"2,80,00,000",,,,
Jaydev Unadkat,,Bowler,Delhi Daredevils,2014,"2,80,00,000",,,,
Jean-Paul Duminy,,Batsman,Delhi Daredevils,2014,"2,20,00,000",,,,
Ross Taylor,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,
Kedar Jadhav,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,
Rahul Sharma,,Bowler,Delhi Daredevils,2014,"1,90,00,000",,,,
Mayank Agarwal,,Batsman,Delhi Daredevils,2014,"1,60,00,000",,,,
Laxmi Ratan Shukla,,All-Rounder,Delhi Daredevils,2014,"1,50,00,000",,,,
James Neesham,,All-Rounder,Delhi Daredevils,2014,"1,00,00,000",,,,
Wayne Parnell,,Bowler,Delhi Daredevils,2014,"1,00,00,000",,,,
Shahbaz Nadeem,,Bowler,Delhi Daredevils,2014,"85,00,000",,,,
Saurabh Tiwary,,Batsman,Delhi Daredevils,2014,"70,00,000",,,,
Siddarth Kaul,,Bowler,Delhi Daredevils,2014,"45,00,000",,,,
Rahul Shukla,,Bowler,Delhi Daredevils,2014,"40,00,000",,,,
Jayant Yadav,,All-Rounder,Delhi Daredevils,2014,"10,00,000",,,,
HS Sharath,,Bowler,Delhi Daredevils,2014,"10,00,000",,,,
Milind Kumar,,Batsman,Delhi Daredevils,2014,"10,00,000",,,,
Mitchell Johnson,,All-Rounder,Kings XI Punjab,2014,"6,50,00,000",,,,
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2014,"6,00,00,000",,,,
George Bailey,,Batsman,Kings XI Punjab,2014,"3,25,00,000",,,,
Virender Sehwag,,Batsman,Kings XI Punjab,2014,"3,20,00,000",,,,
Rishi Dhawan,,All-Rounder,Kings XI Punjab,2014,"3,00,00,000",,,,
Wriddhiman Saha,,Wicket Keeper,Kings XI Punjab,2014,"2,20,00,000",,,,
Shaun Marsh,,Batsman,Kings XI Punjab,2014,"2,20,00,000",,,,
Cheteshwar Pujara,,Batsman,Kings XI Punjab,2014,"1,90,00,000",,,,
Beuran Hendricks,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,
Lakshmipathy Balaji,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,
Thisara Perera,,All-Rounder,Kings XI Punjab,2014,"1,60,00,000",,,,
Gurkirat Singh Mann,,Batsman,Kings XI Punjab,2014,"1,30,00,000",,,,
Murali Kartik,,Bowler,Kings XI Punjab,2014,"1,00,00,000",,,,
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,
Mandeep Hardev Singh,,All-Rounder,Kings XI Punjab,2014,"80,00,000",,,,
Akshar Rajesh Patel,,All-Rounder,Kings XI Punjab,2014,"75,00,000",,,,
Parvinder Awana,,Bowler,Kings XI Punjab,2014,"65,00,000",,,,
Shardul Narendra Thakur,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,
Karanveer Singh,,All-Rounder,Kings XI Punjab,2014,"10,00,000",,,,
Jacques Kallis,,All-Rounder,Kolkata Knight Riders,2014,"5,50,00,000",,,,
Robin Uthappa,,Batsman,Kolkata Knight Riders,2014,"5,00,00,000",,,,
Piyush Chawla,,Bowler,Kolkata Knight Riders,2014,"4,25,00,000",,,,
Yusuf Pathan,,All-Rounder,Kolkata Knight Riders,2014,"3,25,00,000",,,,
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2014,"2,80,00,000",,,,
Morne Morkel,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,
Ranganath Vinay Kumar,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,
Umesh Yadav,,Bowler,Kolkata Knight Riders,2014,"2,60,00,000",,,,
Manish Pandey,,Batsman,Kolkata Knight Riders,2014,"1,70,00,000",,,,
Chris Lynn,,Batsman,Kolkata Knight Riders,2014,"1,30,00,000",,,,
Patrick Cummins,,Bowler,Kolkata Knight Riders,2014,"1,00,00,000",,,,
Ryan Ten Doeschate,,All-Rounder,Kolkata Knight Riders,2014,"1,00,00,000",,,,
Suryakumar Yadav,,Batsman,Kolkata Knight Riders,2014,"70,00,000",,,,
Andre Russell,,All-Rounder,Kolkata Knight Riders,2014,"60,00,000",,,,
Manvinder Bisla,,Wicket Keeper,Kolkata Knight Riders,2014,"60,00,000",,,,
Veer Pratap Singh,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,
Debabrata Das,,Wicket Keeper,Kolkata Knight Riders,2014,"20,00,000",,,,
Sayan Sekhar Mandal,,All-Rounder,Kolkata Knight Riders,2014,"10,00,000",,,,
Michael Hussey,,Batsman,Mumbai Indians,2014,"5,00,00,000",,,,
Corey Anderson,,All-Rounder,Mumbai Indians,2014,"4,50,00,000",,,,
Pragyan Ojha,,Bowler,Mumbai Indians,2014,"3,25,00,000",,,,
Zaheer Khan,,Bowler,Mumbai Indians,2014,"2,60,00,000",,,,
Aditya Tare,,Wicket Keeper,Mumbai Indians,2014,"1,60,00,000",,,,
Jasprit Bumrah,,Bowler,Mumbai Indians,2014,"1,20,00,000",,,,
Jalaj Saxena,,All-Rounder,Mumbai Indians,2014,"90,00,000",,,,
Josh Hazlewood,,Bowler,Mumbai Indians,2014,"50,00,000",,,,
Marchant De Lange,,Bowler,Mumbai Indians,2014,"30,00,000",,,,
Krismar Santokie,,Bowler,Mumbai Indians,2014,"30,00,000",,,,
Ben Dunk,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,
C.M. Gautam,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,
Apoorv Vijay Wankhade,,Batsman,Mumbai Indians,2014,"10,00,000",,,,
Pawan Suyal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,
Sushant Marathe,,Wicket Keeper,Mumbai Indians,2014,"10,00,000",,,,
Shreyas Gopal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,
Steven Smith,,All-Rounder,Rajasthan Royals,2014,"4,00,00,000",,,,
Brad Hodge,,Batsman,Rajasthan Royals,2014,"2,40,00,000",,,,
Rajat Bhatia,,All-Rounder,Rajasthan Royals,2014,"1,70,00,000",,,,
Tim Southee,,Bowler,Rajasthan Royals,2014,"1,20,00,000",,,,
Dhawal Kulkarni,,Bowler,Rajasthan Royals,2014,"1,10,00,000",,,,
Abhishek Nayar,,All-Rounder,Rajasthan Royals,2014,"1,00,00,000",,,,
Kane Richardson,,Bowler,Rajasthan Royals,2014,"1,00,00,000",,,,
Ben Cutting,,Bowler,Rajasthan Royals,2014,"80,00,000",,,,
Karun Nair,,Batsman,Rajasthan Royals,2014,"75,00,000",,,,
Unmukt Chand,,Batsman,Rajasthan Royals,2014,"65,00,000",,,,
Iqbal Abdullah,,All-Rounder,Rajasthan Royals,2014,"65,00,000",,,,
Deepak Hooda,,Bowler,Rajasthan Royals,2014,"40,00,000",,,,
Dishant Yagnik,,Wicket Keeper,Rajasthan Royals,2014,"30,00,000",,,,
Kevon Cooper,,All-Rounder,Rajasthan Royals,2014,"30,00,000",,,,
Vikramjeet Malik,,Bowler,Rajasthan Royals,2014,"20,00,000",,,,
Ankit Nagendra Sharma,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,
Rahul Tewatia,,All-Rounder,Rajasthan Royals,2014,"10,00,000",,,,
Ankush Bains,,Wicket Keeper,Rajasthan Royals,2014,"10,00,000",,,,
Amit Mishra,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,
Pravin Tambe,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,
Yuvraj Singh,,All-Rounder,Royal Challengers Bengaluru,2014,"14,00,00,000",,,,
Mitchell Starc,,Bowler,Royal Challengers Bengaluru,2014,"5,00,00,000",,,,
Albie Morkel,,All-Rounder,Royal Challengers Bengaluru,2014,"2,40,00,000",,,,
Varun Aaron,,Bowler,Royal Challengers Bengaluru,2014,"2,00,00,000",,,,
Ashok Dinda,,Bowler,Royal Challengers Bengaluru,2014,"1,50,00,000",,,,
Parthiv Patel,,Wicket Keeper,Royal Challengers Bengaluru,2014,"1,40,00,000",,,,
Muttiah Muralitharan,,Bowler,Royal Challengers Bengaluru,2014,"1,00,00,000",,,,
Ravi Rampaul,,Bowler,Royal Challengers Bengaluru,2014,"90,00,000",,,,
Nic Maddinson,,Batsman,Royal Challengers Bengaluru,2014,"50,00,000",,,,
Harshal Patel,,Bowler,Royal Challengers Bengaluru,2014,"40,00,000",,,,
Vijay Zol,,Batsman,Royal Challengers Bengaluru,2014,"30,00,000",,,,
Abu Nechim Ahmed,,Bowler,Royal Challengers Bengaluru,2014,"30,00,000",,,,
Sachin Rana,,Bowler,Royal Challengers Bengaluru,2014,"20,00,000",,,,
Shadab Jakati,,Bowler,Royal Challengers Bengaluru,2014,"20,00,000",,,,
Sandeep Warrier,,Bowler,Royal Challengers Bengaluru,2014,"10,00,000",,,,
Tanmay Mishra,,Batsman,Royal Challengers Bengaluru,2014,"10,00,000",,,,
Yogesh Takawale,,Wicket Keeper,Royal Challengers Bengaluru,2014,"10,00,000",,,,
Yuzvendra Singh Chahal,,Bowler,Royal Challengers Bengaluru,2014,"10,00,000",,,,
David Warner,,Batsman,Sunrisers Hyderabad,2014,"5,50,00,000",,,,
Amit Mishra,,Bowler,Sunrisers Hyderabad,2014,"4,75,00,000",,,,
Bhuvneshwar Kumar,,Bowler,Sunrisers Hyderabad,2014,"4,25,00,000",,,,
Aaron Finch,,Batsman,Sunrisers Hyderabad,2014,"4,00,00,000",,,,
Karn Sharma,,Bowler,Sunrisers Hyderabad,2014,"3,75,00,000",,,,
Darren Sammy,,All-Rounder,Sunrisers Hyderabad,2014,"3,50,00,000",,,,
Ishant Sharma,,Bowler,Sunrisers Hyderabad,2014,"2,60,00,000",,,,
Irfan Pathan,,All-Rounder,Sunrisers Hyderabad,2014,"2,40,00,000",,,,
Moises Henriques,,All-Rounder,Sunrisers Hyderabad,2014,"1,00,00,000",,,,
KL Rahul,,Batsman,Sunrisers Hyderabad,2014,"1,00,00,000",,,,
Parveez Rasool,,All-Rounder,Sunrisers Hyderabad,2014,"95,00,000",,,,
Jason Holder,,Bowler,Sunrisers Hyderabad,2014,"75,00,000",,,,
Venugopal Rao,,Batsman,Sunrisers Hyderabad,2014,"55,00,000",,,,
Naman Ojha,,Wicket Keeper,Sunrisers Hyderabad,2014,"50,00,000",,,,
Brendan Taylor,,Wicket Keeper,Sunrisers Hyderabad,2014,"30,00,000",,,,
Prasanth Parameswaran,,Bowler,Sunrisers Hyderabad,2014,"30,00,000",,,,
Amit Paunikar,,Wicket Keeper,Sunrisers Hyderabad,2014,"20,00,000",,,,
Ashish Reddy,,Bowler,Sunrisers Hyderabad,2014,"20,00,000",,,,
Srikkanth Anirudha,,Batsman,Sunrisers Hyderabad,2014,"20,00,000",,,,
Ricky Bhui,,Batsman,Sunrisers Hyderabad,2014,"10,00,000",,,,
Chama Milind,,Bowler,Sunrisers Hyderabad,2014,"10,00,000",,,,
Manprit Juneja,,Batsman,Sunrisers Hyderabad,2014,"10,00,000",,,,
Michael Hussey,,Batsman,Chennai Super Kings,2015,"1,50,00,000",,,,
Irfan Pathan,,All-Rounder,Chennai Super Kings,2015,"1,50,00,000",,,,
Rahul Sharma,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,
Kyle Abbott,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,
Andrew Tye,,Bowler,Chennai Super Kings,2015,"20,00,000",,,,
Pratyush Singh,,All-Rounder,Chennai Super Kings,2015,"10,00,000",,,,
Ankush Bains,,Wicket Keeper,Chennai Super Kings,2015,"10,00,000",,,,
Eklavya Dwivedi,,Wicket Keeper,Chennai Super Kings,2015,"10,00,000",,,,
Yuvraj Singh,,Batsman,Delhi Daredevils,2015,"16,00,00,000",,,,
Angelo Mathews,,All-Rounder,Delhi Daredevils,2015,"7,50,00,000",,,,
Zaheer Khan,,Bowler,Delhi Daredevils,2015,"4,00,00,000",,,,
Amit Mishra,,Bowler,Delhi Daredevils,2015,"3,50,00,000",,,,
Shreyas Iyer,,Batsman,Delhi Daredevils,2015,"2,60,00,000",,,,
Gurinder Sandhu,,Bowler,Delhi Daredevils,2015,"1,70,00,000",,,,
Jaydev Unadkat,,Bowler,Delhi Daredevils,2015,"1,10,00,000",,,,
Domnic Joseph Muthuswamy,,Bowler,Delhi Daredevils,2015,"75,00,000",,,,
Albie Morkel,,All-Rounder,Delhi Daredevils,2015,"30,00,000",,,,
Travis Head,,Batsman,Delhi Daredevils,2015,"30,00,000",,,,
Marcus Stoinis,,All-Rounder,Delhi Daredevils,2015,"25,00,000",,,,
C.M. Gautam,,Wicket Keeper,Delhi Daredevils,2015,"20,00,000",,,,
Kona Srikar Bharat,,Wicket Keeper,Delhi Daredevils,2015,"10,00,000",,,,
K.K. Jiyaz,,Bowler,Delhi Daredevils,2015,"10,00,000",,,,
Murali Vijay,,Batsman,Kings XI Punjab,2015,"3,00,00,000",,,,
Nikhil Shankar Naik,,Wicket Keeper,Kings XI Punjab,2015,"30,00,000",,,,
Yogesh Gowalkar,,All-Rounder,Kings XI Punjab,2015,"10,00,000",,,,
K.C. Cariappa,,Bowler,Kolkata Knight Riders,2015,"2,40,00,000",,,,
James Neesham,,All-Rounder,Kolkata Knight Riders,2015,"50,00,000",,,,
Brad Hogg,,Bowler,Kolkata Knight Riders,2015,"50,00,000",,,,
Aditya Garhwal,,All-Rounder,Kolkata Knight Riders,2015,"25,00,000",,,,
Sheldon Jackson,,Batsman,Kolkata Knight Riders,2015,"15,00,000",,,,
Sumit Narwal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,
Vaibhav Rawal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,
Aaron Finch,,Batsman,Mumbai Indians,2015,"3,20,00,000",,,,
Pragyan Ojha,,Bowler,Mumbai Indians,2015,"50,00,000",,,,
Abhimanyu Mithun,,Bowler,Mumbai Indians,2015,"30,00,000",,,,
Mitchell McClenaghan,,Bowler,Mumbai Indians,2015,"30,00,000",,,,
Aiden Blizzard,,Batsman,Mumbai Indians,2015,"30,00,000",,,,
Hardik Pandya,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,
Akshay Wakhare,,Bowler,Mumbai Indians,2015,"10,00,000",,,,
Nitish Rana,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,
Siddhesh Dinesh Lad,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,
J. Suchitch,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,
Christopher Morris,,All-Rounder,Rajasthan Royals,2015,"1,40,00,000",,,,
Juan Theron,,Bowler,Rajasthan Royals,2015,"30,00,000",,,,
Barinder Singh Saran,,Bowler,Rajasthan Royals,2015,"10,00,000",,,,
Dinesh Salunkhe,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,
Sagar Trivedi,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,
Pardeep Sahu,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,
Dinesh Karthik,,Wicket Keeper,Royal Challengers Bengaluru,2015,"10,50,00,000",,,,
Darren Sammy,,All-Rounder,Royal Challengers Bengaluru,2015,"2,80,00,000",,,,
David Wiese,,All-Rounder,Royal Challengers Bengaluru,2015,"2,80,00,000",,,,
Sean Abbott,,Bowler,Royal Challengers Bengaluru,2015,"1,00,00,000",,,,
Adam Milne,,Bowler,Royal Challengers Bengaluru,2015,"70,00,000",,,,
Sarfaraz Naushad Khan,,Batsman,Royal Challengers Bengaluru,2015,"50,00,000",,,,
Subramaniam Badrinath,,Batsman,Royal Challengers Bengaluru,2015,"30,00,000",,,,
Jalaj Saxena,,All-Rounder,Royal Challengers Bengaluru,2015,"10,00,000",,,,
Shishir Bhavane,,Batsman,Royal Challengers Bengaluru,2015,"10,00,000",,,,
Trent Boult,,Bowler,Sunrisers Hyderabad,2015,"3,80,00,000",,,,
Praveen Kumar,,Bowler,Sunrisers Hyderabad,2015,"2,20,00,000",,,,
Kevin Pietersen,,Batsman,Sunrisers Hyderabad,2015,"2,00,00,000",,,,
Eoin Morgan,,Batsman,Sunrisers Hyderabad,2015,"1,50,00,000",,,,
Ravi Bopara,,All-Rounder,Sunrisers Hyderabad,2015,"1,00,00,000",,,,
Kane Williamson,,All-Rounder,Sunrisers Hyderabad,2015,"60,00,000",,,,
Laxmi Ratan Shukla,,All-Rounder,Sunrisers Hyderabad,2015,"30,00,000",,,,
Prasanth Padmanabhan,,All-Rounder,Sunrisers Hyderabad,2015,"10,00,000",,,,
Hanuma Vihari,,Batsman,Sunrisers Hyderabad,2015,"10,00,000",,,,
Siddarth Kaul,,Bowler,Sunrisers Hyderabad,2015,"10,00,000",,,,
Pawan Negi,,All-Rounder,Delhi Daredevils,2016,"8,50,00,000",,,,
Christopher Morris,,All-Rounder,Delhi Daredevils,2016,"7,00,00,000",,,,
Sanju Samson,,Wicket Keeper,Delhi Daredevils,2016,"4,20,00,000",,,,
Carlos Brathwaite,,All-Rounder,Delhi Daredevils,2016,"4,20,00,000",,,,
Karun Nair,,Batsman,Delhi Daredevils,2016,"4,00,00,000",,,,
Rishabh Pant,,Wicket Keeper,Delhi Daredevils,2016,"1,90,00,000",,,,
Joel Paris,,Bowler,Delhi Daredevils,2016,"30,00,000",,,,
Sam Billings,,Wicket Keeper,Delhi Daredevils,2016,"30,00,000",,,,
Chama Milind,,Bowler,Delhi Daredevils,2016,"10,00,000",,,,
Pratyush Singh,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,
Mahipal Lomror,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,
Akhil Arvind Herwadkar,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,
Pawan Suyal,,Bowler,Delhi Daredevils,2016,"10,00,000",,,,
Praveen Kumar,,Bowler,Gujarat Lions,2016,"3,50,00,000",,,,
Dale Steyn,,Bowler,Gujarat Lions,2016,"2,30,00,000",,,,
Dinesh Karthik,,Wicket Keeper,Gujarat Lions,2016,"2,30,00,000",,,,
Dwayne Smith,,All-Rounder,Gujarat Lions,2016,"2,30,00,000",,,,
Dhawal Kulkarni,,Bowler,Gujarat Lions,2016,"2,00,00,000",,,,
Aaron Finch,,Batsman,Gujarat Lions,2016,"1,00,00,000",,,,
Eklavya Dwivedi,,Wicket Keeper,Gujarat Lions,2016,"1,00,00,000",,,,
Andrew Tye,,All-Rounder,Gujarat Lions,2016,"50,00,000",,,,
Ishan Kishan,,Wicket Keeper,Gujarat Lions,2016,"35,00,000",,,,
Jaydev Shah,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,
Shadab Jakati,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,
Pravin Tambe,,Bowler,Gujarat Lions,2016,"20,00,000",,,,
Pradeep Sangwan,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,
Amit Mishra,,Bowler,Gujarat Lions,2016,"10,00,000",,,,
Shivil Kaushik,,Bowler,Gujarat Lions,2016,"10,00,000",,,,
Akshdeep Nath,,All-Rounder,Gujarat Lions,2016,"10,00,000",,,,
Sarabjit Ladda,,Bowler,Gujarat Lions,2016,"10,00,000",,,,
Umang Sharma,,Batsman,Gujarat Lions,2016,"10,00,000",,,,
Paras Dogra,,Batsman,Gujarat Lions,2016,"10,00,000",,,,
Mohit Sharma,,Bowler,Kings XI Punjab,2016,"6,50,00,000",,,,
Kyle Abbott,,Bowler,Kings XI Punjab,2016,"2,10,00,000",,,,
K.C. Cariappa,,Bowler,Kings XI Punjab,2016,"80,00,000",,,,
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2016,"55,00,000",,,,
Farhaan Behardien,,All-Rounder,Kings XI Punjab,2016,"30,00,000",,,,
Pardeep Sahu,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,
Armaan Jaffer,,Batsman,Kings XI Punjab,2016,"10,00,000",,,,
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,
Jaydev Unadkat,,Bowler,Kolkata Knight Riders,2016,"1,60,00,000",,,,
Ankit Singh Rajpoot,,Bowler,Kolkata Knight Riders,2016,"1,50,00,000",,,,
John Hastings,,Bowler,Kolkata Knight Riders,2016,"1,30,00,000",,,,
Jason Holder,,All-Rounder,Kolkata Knight Riders,2016,"70,00,000",,,,
Colin Munro,,All-Rounder,Kolkata Knight Riders,2016,"30,00,000",,,,
Rajagopal Sathish,,All-Rounder,Kolkata Knight Riders,2016,"20,00,000",,,,
Manan Ajay Sharma,,All-Rounder,Kolkata Knight Riders,2016,"10,00,000",,,,
Jos Buttler,,Wicket Keeper,Mumbai Indians,2016,"3,80,00,000",,,,
Nathu Singh,,Bowler,Mumbai Indians,2016,"3,20,00,000",,,,
Tim Southee,,Bowler,Mumbai Indians,2016,"2,50,00,000",,,,
Krunal Pandya,,All-Rounder,Mumbai Indians,2016,"2,00,00,000",,,,
Kishore Pramod Kamath,,All-Rounder,Mumbai Indians,2016,"1,40,00,000",,,,
Deepak Punia,,All-Rounder,Mumbai Indians,2016,"10,00,000",,,,
Jitesh Sharma,,Wicket Keeper,Mumbai Indians,2016,"10,00,000",,,,
Mitchell Marsh,,All-Rounder,Rising Pune Supergiant,2016,"4,80,00,000",,,,
M. Ashwin,,Bowler,Rising Pune Supergiant,2016,"4,50,00,000",,,,
Ishant Sharma,,Bowler,Rising Pune Supergiant,2016,"3,80,00,000",,,,
Kevin Pietersen,,Batsman,Rising Pune Supergiant,2016,"3,50,00,000",,,,
Irfan Pathan,,All-Rounder,Rising Pune Supergiant,2016,"1,00,00,000",,,,
Thisara Perera,,All-Rounder,Rising Pune Supergiant,2016,"1,00,00,000",,,,
Rajat Bhatia,,All-Rounder,Rising Pune Supergiant,2016,"60,00,000",,,,
Ashok Dinda,,Bowler,Rising Pune Supergiant,2016,"50,00,000",,,,
Scott Boland,,Bowler,Rising Pune Supergiant,2016,"50,00,000",,,,
Peter Handscomb,,Wicket Keeper,Rising Pune Supergiant,2016,"30,00,000",,,,
Rudra Pratap Singh,,Bowler,Rising Pune Supergiant,2016,"30,00,000",,,,
Adam Zampa,,Bowler,Rising Pune Supergiant,2016,"30,00,000",,,,
Ishwar Chandra Pandey,,Bowler,Rising Pune Supergiant,2016,"20,00,000",,,,
Deepak Chahar,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,
Jaskaran Singh,,Bowler,Rising Pune Supergiant,2016,"10,00,000",,,,
Baba Aparajith,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,
Ankush Bains,,Wicket Keeper,Rising Pune Supergiant,2016,"10,00,000",,,,
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,
